id,Ime,Kraj,Drzava,Starost,Telefon
530710,Brigida Bricksey,Novopokrovskaya,Russia,43,(398) 6875337
991062,Mirna Sunshine,Shumikhinskiy,Russia,85,(635) 1894628
582041,Olva Poll,Fonte da Aldeia,Portugal,100,(810) 3597999
009136,Callean Morit,Lovas,Croatia,23,(181) 6651027
356898,Etienne Vick,Sápes,Greece,83,(850) 7061608
492735,Ardelle Anear,Izbicko,Poland,74,(817) 6999093
983514,Obadiah Fursland,Donja Dubica,Bosnia and Herzegovina,4,(360) 4371512
875984,Elke Greatorex,Mjölby,Sweden,64,(703) 3025743
956291,Alli Dargie,Vereshchagino,Russia,100,(315) 2570369
178819,Toni Lucey,Nowogard,Poland,100,(562) 7292934
102092,Corrie Wharby,Stýpsi,Greece,59,(913) 7316692
166326,Marya Grey,Groningen,Netherlands,41,(148) 4415066
288672,Leann Conti,Sölvesborg,Sweden,53,(166) 6627586
788407,Valaria Haughian,Lerum,Sweden,29,(343) 3234594
134271,Jamima Toderbrugge,Cherbourg-Octeville,France,80,(534) 2293011
634291,Myrtle Abramsky,Raphoe,Ireland,56,(334) 4494379
837765,Tabby Sines,Vol’no-Nadezhdinskoye,Russia,80,(173) 8085057
691271,Ailbert Finley,Severo-Zadonsk,Russia,16,(445) 4131705
951342,Barbara-anne McDavid,Orléans,France,62,(151) 4270712
880797,Sabra Druhan,Sombor,Serbia,74,(118) 5509078
620897,Tersina Langshaw,Bologna,Italy,38,(207) 5224854
726049,Hew MacEllen,Vandœuvre-lès-Nancy,France,53,(213) 3585972
689968,Vally Brisse,Landivisiau,France,22,(415) 3518085
281944,Magnum Todeo,Göteborg,Sweden,96,(497) 8705486
279290,Rubetta Robers,Horní Čermná,Czech Republic,69,(697) 8256521
321071,Wynn Leafe,Dmitrov,Russia,86,(620) 3555534
583557,Sophey Mcsarry,Cerava,Albania,2,(749) 7658025
523353,Maryanne Devine,Novo-Peredelkino,Russia,86,(804) 7079387
996452,Chris Greenall,Luleå,Sweden,42,(952) 5053405
186804,Martyn Leborgne,Český Těšín,Czech Republic,17,(253) 7849280
359251,Thaxter Lewton,Muranovo,Russia,61,(511) 6394568
338772,Dorrie Rubinsky,Canelas,Portugal,86,(180) 6094723
539741,Athena Greenan,Staré Město,Czech Republic,26,(908) 9905399
386841,Lynnet Dillingham,Lukovica pri Domžalah,Slovenia,5,(953) 9728978
049791,Ellswerth Paolucci,Solna,Sweden,74,(195) 5612010
326362,Isa Brisson,Rio de Mouro,Portugal,48,(680) 9193321
259006,Sutherlan Earpe,Wielka Nieszawka,Poland,72,(604) 5937493
567803,Darline Overlow,Kanáli,Greece,21,(214) 7698479
564632,Ginnie Mytton,Eaubonne,France,30,(527) 1219640
492836,Derwin Purchall,Dzięgielów,Poland,9,(573) 8745536
059226,Tyrus Downham,Ylitornio,Finland,44,(599) 6718241
800075,Saudra Facher,Tytuvėnėliai,Lithuania,33,(363) 7748322
804788,Lorene Hexam,Escola,Portugal,29,(933) 3051488
368776,Cora Aitchison,Perivóli,Greece,25,(959) 2692882
651712,Emyle Kilcoyne,Demyansk,Russia,21,(981) 3240530
350588,Christi Hebbard,Solna,Sweden,58,(754) 5155024
166349,Kylila Goundry,Ivyanyets,Belarus,70,(606) 3264110
311653,Luigi Montilla,São Tomé,Portugal,60,(579) 1024016
762454,Toby Guidera,P’asanauri,Georgia,2,(433) 8541164
235120,Shirlene Braizier,Pršovce,Macedonia,20,(818) 9507296
403970,Igor Ferras,Karpushikha,Russia,39,(396) 8602561
900364,Renata Guilder,Lysyanka,Ukraine,78,(760) 7111981
597819,Pincus Bottrell,Borovany,Czech Republic,61,(199) 4163829
193429,Kaleena Tanzer,Linköping,Sweden,20,(881) 4571464
145262,Kori Hylton,Domsjö,Sweden,98,(672) 3949003
373664,Burgess Sterke,Mospyne,Ukraine,86,(332) 4649936
339506,Karylin Kildahl,Guarda Nova,Portugal,76,(510) 6773128
641074,Erma Constable,Seixo,Portugal,2,(613) 4679214
693135,Wren Sherratt,Ulricehamn,Sweden,88,(747) 7850157
453936,Flossi Bonaire,Slobodnica,Croatia,41,(773) 6579905
213267,Karil Redbourn,Omutninsk,Russia,59,(518) 2834180
739970,Anders Plaide,Carrigaline,Ireland,35,(844) 1879780
611006,Otto Hartop,Zelenograd,Russia,27,(387) 6665430
628201,Phylis Trusler,Yelenendorf,Azerbaijan,55,(615) 8891663
221202,Puff Yegorovnin,Hoktember,Armenia,16,(293) 1264314
368832,Tynan Pinnion,Drochia,Moldova,47,(302) 8705283
263064,Cornelia Henri,Oslo,Norway,87,(450) 6103594
553301,Carri Scales,Kolchikón,Greece,82,(530) 9578175
034605,Denys Lidster,Caherconlish,Ireland,73,(590) 6710311
989142,Garrard Escoffier,Mosty,Poland,9,(981) 5499914
735394,Debra Ceci,Ulricehamn,Sweden,10,(480) 2821728
275776,Maddie Trahear,Le Havre,France,43,(494) 3469054
131432,Camila Jelf,Inta,Russia,64,(680) 8071452
306201,Lenka Blight,Shuvakish,Russia,32,(261) 4496974
309309,Stefa Schust,Saramech,Armenia,59,(962) 2362478
941281,Roxanna Abramsky,Psachná,Greece,20,(304) 6109722
795169,Brock Popland,Casais de Revelhos,Portugal,32,(268) 1875051
426529,Shea Campa,Novi Kneževac,Serbia,28,(395) 7546806
111963,Doralia Poytheras,Rechitsy,Russia,72,(150) 7562031
897034,Faunie Gracewood,Tromsø,Norway,86,(475) 8935650
045579,Joycelin Postgate,Gyumri,Armenia,36,(467) 2082565
082365,Fabiano Gilardoni,Imatra,Finland,12,(320) 9558152
707354,Westleigh Allderidge,Hoktember,Armenia,16,(904) 3306540
301459,Eugene Dunlop,Ripky,Ukraine,95,(710) 1130832
783504,Tallie Atterley,Medvedok,Russia,61,(944) 6279763
017123,Kleon Veale,Selce,Macedonia,61,(527) 2894838
152772,Guthrie Rupp,Vyshneve,Ukraine,89,(460) 6842154
971670,Georgena Melmore,Lappi,Finland,53,(481) 4330792
654098,Siegfried Demangel,Šumperk,Czech Republic,82,(692) 8316094
130446,Maridel Swanne,Vynohradivka,Ukraine,10,(294) 7173696
787696,Stella Peasby,Świecie nad Osą,Poland,27,(382) 5811028
925502,Carlynne Ciccottini,Dubrovnik,Croatia,30,(406) 6234492
800926,Karole Grigorushkin,Croix,France,92,(243) 8385209
527440,Mab Ebdon,Tyachiv,Ukraine,76,(620) 5214576
643607,Ellswerth Coit,Korniyivka,Ukraine,8,(790) 1027843
411949,Evelin Brisley,Kysyl-Syr,Russia,88,(212) 8078432
044966,Cristen Partington,Batumi,Georgia,85,(845) 5828070
589807,Jacqui Geering,Mahdalynivka,Ukraine,49,(513) 6337508
028499,Cathryn Ireson,Troyits’ke,Ukraine,20,(908) 3627290
256083,Terrence Andrejevic,Tandzut,Armenia,59,(981) 3766174
587027,Taddeo Tomasicchio,Plavsk,Russia,31,(181) 2569571
048089,Emyle Ingilson,Murygino,Russia,51,(217) 5488550
821883,Kikelia Spurriar,Södertälje,Sweden,91,(221) 4580077
999770,Levin Le Fleming,Traganón,Greece,63,(453) 2493065
495790,Carlye Frend,São Pedro,Portugal,69,(182) 5296843
602918,Goldarina Sawford,Ponte,Portugal,24,(297) 9441323
231521,Forbes Thrift,Vatutino,Russia,22,(949) 1930235
140091,Kelby Brixey,Blois,France,50,(497) 6623425
834066,Eduino Feighry,Voznesenskaya,Russia,51,(658) 8275056
126457,Scarlett Bellord,Myski,Russia,45,(741) 5880052
552224,Tibold Swaden,Hrvace,Croatia,35,(106) 8513588
743912,Melinda Fealy,Stockholm,Sweden,16,(391) 1613794
002047,Karen Gerrard,Khasavyurt,Russia,79,(300) 8212940
914867,Vicki Godlonton,Provins,France,59,(836) 9816034
442261,Carol Skryne,Épinal,France,66,(825) 8576837
793620,Bibbye Pleavin,Oslo,Norway,88,(314) 2296965
269833,Roslyn Bixley,Ellinikó,Greece,38,(279) 6903663
782504,Callean Woodard,Aravissós,Greece,75,(197) 2854439
974597,Kain Oldam,Jabłonowo Pomorskie,Poland,32,(852) 8518466
272118,Welsh Bygate,Broumov,Czech Republic,5,(761) 8956523
921608,Kennith MacSween,Tatariv,Ukraine,26,(411) 3728773
608910,Darwin Burdett,Warsaw,Poland,2,(972) 3383098
073834,Roderigo Bustin,Karlskoga,Sweden,64,(933) 5798796
609430,Hazel Guerro,Gnieżdżewo,Poland,18,(365) 8998976
543974,Madeleine Phorsby,Adorjan,Serbia,37,(696) 9318288
241843,Larina Schoenleiter,Jablonec nad Nisou,Czech Republic,46,(678) 7400589
523705,Cameron Beeck,Pergamos,Cyprus,70,(736) 2920819
987946,Madeline Romaine,Oslo,Norway,54,(372) 1045419
148737,Lloyd Curme,Šabac,Serbia,72,(302) 2818789
822901,Morly Leverett,Caldas das Taipas,Portugal,13,(645) 9566289
925350,Marji Normanvell,Arnage,France,55,(689) 8130095
773124,Elfreda Verdon,Carrascal,Portugal,76,(262) 1761614
043591,Emilee Wiper,Brodnica,Poland,74,(899) 8744226
305337,Eziechiele Gommery,Olenegorsk,Russia,8,(861) 3996852
117047,Dante Jeromson,Likhobory,Russia,53,(407) 5937524
989158,Penny Pagitt,Pentre,United Kingdom,77,(682) 7563849
461478,Abby Bardey,Conqueiros,Portugal,68,(296) 9555720
916715,Anita Camplejohn,Krasnapollye,Belarus,14,(334) 1676611
027575,Nealson Kohrt,Krylovskaya,Russia,25,(304) 5196554
763856,Anson Mardee,Uście Gorlickie,Poland,4,(250) 1320576
996777,Mariya Schwartz,Popova,Russia,15,(121) 2439210
320874,Ty Bartoszek,Karnice,Poland,1,(136) 9413669
543003,Britney Hembling,Caldas das Taipas,Portugal,62,(961) 4008614
069666,Jeralee Lenglet,Alingsås,Sweden,10,(600) 1181414
953787,Emmie Bembrick,Veliki Preslav,Bulgaria,2,(431) 4844246
726026,Alvinia Burbridge,Vila de Rei,Portugal,89,(201) 3755401
971293,Odey Pickavance,Ljig,Serbia,4,(216) 5222687
637749,Eustace D'Elia,Marseille,France,37,(449) 2362114
393292,Ario Coggill,Flor da Rosa,Portugal,82,(962) 4973376
587109,Zane Revey,Nürnberg,Germany,30,(577) 2021229
769223,Mick Oehm,Kapan,Armenia,45,(925) 1339468
142096,Richardo Gianinotti,Furmanov,Russia,74,(270) 8472112
243893,Dino Ascrofte,Voronezh,Russia,85,(553) 1619162
367589,Nomi Badman,Venlo,Netherlands,40,(318) 7112980
715442,Jennica Quinney,Linköping,Sweden,59,(252) 1893547
683217,Ainsley Gerholz,Vincennes,France,17,(698) 5755405
416952,Loni Gaunson,Donetsk,Ukraine,29,(498) 1725448
237752,Cornell Wield,Opatów,Poland,24,(480) 6836057
612576,Jeniece Glasbey,Białobrzegi,Poland,38,(406) 4543740
902659,Andrea Craig,Svetogorsk,Russia,27,(564) 5789907
548532,Tudor Alvey,Eindhoven,Netherlands,91,(208) 9605170
098084,Gram Joire,Listvyanka,Russia,96,(109) 3826024
479494,Minne Stafford,Bordeaux,France,61,(643) 6522839
321268,Gregory Manders,Brloh,Czech Republic,62,(887) 6653610
929841,Pauly Silverthorne,Ujar,Azerbaijan,17,(254) 8749691
818123,Cazzie Kirsz,Berovo,Macedonia,63,(624) 3060165
426219,Rosemonde Pipet,Esso,Russia,62,(718) 5109896
270054,Wilfred McGooch,Arcachon,France,99,(409) 2604075
380730,Kevin Cordon,Chuguyevka,Russia,68,(282) 1240932
046991,Chancey Gowar,Monte Redondo,Portugal,96,(764) 8724048
294317,Ludovico Chartre,Roanne,France,80,(268) 3242253
426227,Katharine Jeppe,Cachada,Portugal,88,(641) 8148485
573523,Luciana Humburton,Bayonne,France,18,(870) 6545628
567549,Sybil Colrein,Regnów,Poland,44,(312) 1896969
147650,Sybille Songer,Nancy,France,92,(471) 6604300
516031,Amalia Harback,Dukhovnitskoye,Russia,77,(116) 6483121
316032,Ray Faichnie,Aubervilliers,France,72,(370) 5724016
972003,Erick Clifforth,Sumy,Ukraine,63,(673) 8243886
148939,Darcee Gockeler,Verd,Slovenia,75,(626) 2476414
145148,Sukey Wingrove,Kirovskiy,Russia,60,(997) 9362230
020690,Levey Fone,Labruge,Portugal,63,(242) 9792239
713558,Karalee McGuinness,Parzęczew,Poland,62,(998) 2840874
584895,Claus Nielson,Peza e Madhe,Albania,16,(535) 5893905
326882,Gerhardine Lickorish,Kaliska,Poland,95,(921) 3300923
705507,Tedman Bransdon,Verkhnyachka,Ukraine,12,(750) 5721161
094230,Sullivan Gallard,Olenyok,Russia,80,(867) 4954688
743000,Janifer Gloster,Marevo,Russia,95,(666) 3435066
091745,Sharia Conybear,Derbent,Russia,91,(415) 6020789
972243,Alvis Sanzio,Jablunkov,Czech Republic,83,(270) 2673248
735416,Retha Malkinson,Pamyat’ Parizhskoy Kommuny,Russia,76,(384) 8067194
824929,Mortimer Luc,Metz,France,15,(374) 6222739
482269,Stefan Youdell,Brčko,Bosnia and Herzegovina,20,(701) 3334093
150773,Spenser Warrick,Dalsjöfors,Sweden,94,(189) 5249340
113348,Ossie Moorhead,Enschede,Netherlands,91,(668) 8589885
717307,Cleve Witson,Skara,Sweden,1,(255) 8214259
500438,Lind Grisenthwaite,Hvozdná,Czech Republic,65,(442) 7869663
320688,Hulda Luckhurst,Colares,Portugal,59,(418) 8679449
849617,Brigit Reffe,Malinovoye Ozero,Russia,66,(247) 4337235
552467,Angus Ollander,Yelenendorf,Azerbaijan,78,(597) 8772698
880424,Teddie Lillie,Veselí nad Moravou,Czech Republic,82,(187) 2480085
963942,Burlie Hollebon,Kristianstad,Sweden,82,(690) 3867319
695892,Abner Kleinholz,Ordino,Andorra,30,(157) 1687265
517883,Arte Gaylord,Loket,Czech Republic,74,(518) 6660093
073259,Basia Spurret,Church End,United Kingdom,22,(233) 9225702
025755,Demott Prangnell,Kombësi,Albania,79,(825) 6214216
425523,Louie Corsor,Dardhas,Albania,29,(877) 8934135
125169,Fiorenze Egginton,Dobřív,Czech Republic,88,(246) 3943332
832833,Valentina Coopman,Alcorriol,Portugal,52,(585) 5848624
246342,Tessa Muehle,Třebíč,Czech Republic,5,(543) 3998054
218104,Samantha Rudolfer,Maszkienice,Poland,13,(686) 4073276
941633,Elden Jina,Berestechko,Ukraine,28,(113) 4433095
497793,Gunar Frend,Marinići,Croatia,69,(155) 7049342
479792,Katha Boultwood,Osveya,Belarus,83,(650) 1880852
771492,Frankie Lovart,Saint-Étienne,France,54,(418) 5609873
714142,Nancy Pavlovic,Ráječko,Czech Republic,32,(221) 2438742
350043,Todd Haquard,Longwy,France,91,(630) 3226287
420539,Alane Probets,Le Mans,France,100,(459) 4615420
457692,Marillin Eglington,Brody,Ukraine,51,(860) 3385376
243719,Rayshell Van der Velde,Luhansk,Ukraine,28,(171) 4553867
169206,Zelig Shavel,Tikhoretsk,Russia,5,(546) 7599526
447528,Kayley Deverale,Töreboda,Sweden,89,(152) 8667850
769671,Drud Denisyuk,Vygonichi,Russia,10,(693) 5712038
534500,Cristy Partridge,Rublëvo,Russia,8,(265) 6769464
129729,Constance Pottle,Nieuwegein,Netherlands,22,(892) 9928674
727528,Pearle McInility,Nova Praha,Ukraine,90,(700) 7229325
593053,Vinny Danilchik,Zselickislak,Hungary,2,(402) 8634894
253119,Elbertine Courage,Zheshart,Russia,95,(381) 3543453
441568,Violet Clotworthy,Khotiv,Ukraine,62,(927) 1150848
316017,Ronnie Huie,Loivos,Portugal,62,(200) 5003486
044524,Laura Kindley,Boleiros,Portugal,26,(736) 1167706
624330,Cassey McLay,Otlja,Macedonia,81,(220) 5596879
908123,Bastien Ravel,Borodino,Ukraine,87,(257) 3799705
529636,Raviv Hulstrom,Chusovoy,Russia,7,(436) 8215927
986734,Samuele Meo,Tyoply Stan,Russia,59,(116) 1162694
937056,Robinette Wilsher,Březová,Czech Republic,51,(233) 2037670
730367,Florencia Tame,Sankt Andrä-Höch,Austria,66,(303) 8768676
115889,Orsola Tawton,Ponte da Pedra,Portugal,36,(426) 1537074
976930,Adolph Ellit,Creil,France,59,(134) 6756554
618742,Bridget Vines,Slatina,Croatia,18,(281) 5617934
798342,Neile Kayes,Crumlin,Ireland,33,(167) 7855324
710627,Kev Gritsaev,Hostouň,Czech Republic,27,(635) 8621780
874506,Nyssa Aird,Krouna,Czech Republic,39,(403) 6152969
979952,Jewel Boldt,Bologna,Italy,15,(614) 8978047
266927,Myron Planks,Ventsy,Russia,51,(949) 9130300
604152,Lorens McAlpin,Privlaka,Croatia,45,(335) 7096993
302567,Lidia Tessier,Le Havre,France,75,(475) 9662255
080865,Rozanne Norkutt,Svrljig,Serbia,40,(970) 3558851
320863,Erl Sweatman,Péruwelz,Belgium,25,(266) 4618790
337816,Maureen Mingus,Koper,Slovenia,5,(737) 3473739
786975,Laurene Scrogges,Usman’,Russia,50,(734) 3391671
790537,Ron Dahlback,Besançon,France,14,(505) 3248491
062086,Raleigh felip,Umeå,Sweden,82,(741) 3547419
736504,Dalia Morrott,Granica,Poland,62,(336) 8650820
165897,Alfi Sweeting,Leganes,Spain,19,(971) 2385313
750325,Uriel Braunlein,Vélizy-Villacoublay,France,81,(177) 7143200
287846,Tremain Pobjoy,Sumy,Ukraine,28,(185) 9929526
948590,Kellsie Cockerell,Gornji Grad,Slovenia,46,(380) 2077457
996567,Chelsea Mc Faul,Saint-Cloud,France,35,(242) 8094513
164378,Taylor Lannin,Freiria,Portugal,67,(613) 2787863
585058,Reece Phelp,Horní Stropnice,Czech Republic,31,(430) 3717510
396675,Nealon Pietri,Żabbar,Malta,29,(274) 7463080
075707,Godfree Saket,Anton,Bulgaria,90,(199) 4723575
656685,Nikolaus Jersch,Blagodatnoye,Russia,2,(833) 7236083
501420,Viviene Durman,Shelopugino,Russia,6,(141) 4147827
397130,Nanete Mcimmie,Kingscourt,Ireland,3,(228) 5351700
397671,Rahal MacTrustie,Xibër-Murrizë,Albania,16,(792) 3241700
237557,Uriel Skelbeck,Chotcza,Poland,1,(325) 9539280
077863,Conroy Bercher,Lahishyn,Belarus,16,(696) 3457067
352574,Tomas Gameson,Bezenchuk,Russia,23,(590) 6981592
369145,Rebe Booth,Jadowniki,Poland,98,(952) 1273655
777435,Damiano Duham,Porosozero,Russia,44,(514) 8202448
303499,Margaux Coghlan,Trondheim,Norway,13,(561) 1729100
610980,Mady Napthine,Verkhniy Baskunchak,Russia,86,(873) 5857145
759378,Lewie Warmisham,Petrovsk,Russia,81,(985) 5714330
967341,Violante Beccero,Krasnofarfornyy,Russia,93,(667) 9476573
464281,Kassandra Feitosa,Kungsör,Sweden,43,(490) 6817488
291648,Gretna Bollin,Zharrëz,Albania,4,(478) 4493092
699442,Martyn Laker,Vittoriosa,Malta,82,(259) 3322615
958475,Baryram Brainsby,Tayturka,Russia,72,(277) 3260944
506192,Lay Edelmann,Nevesinje,Bosnia and Herzegovina,32,(224) 9891240
884056,Merell Huggard,Dębnica Kaszubska,Poland,71,(108) 3869624
484072,Ingelbert Le Floch,København,Denmark,77,(785) 1151324
125047,Letta Franschini,Novyy Starodub,Ukraine,84,(815) 5894558
082425,Annecorinne Tremble,Bašaid,Serbia,51,(754) 7726884
196907,Yettie Davitti,Killumney,Ireland,22,(927) 7032076
610794,Solly Chesney,Duboka,Serbia,29,(649) 6304750
186587,Yoko Harrild,Brzeszcze,Poland,13,(558) 3427831
023240,Francoise Picheford,Krzyżowice,Poland,46,(410) 4831681
396231,Owen Kidd,Voznesenskaya,Russia,6,(986) 8277864
550852,Jeremie Durdle,Gazimurskiy Zavod,Russia,87,(330) 6048543
574591,Ursa Billing,Chavusy,Belarus,67,(932) 5442421
354786,Hillery Ethridge,Sezimovo Ústí,Czech Republic,2,(860) 5936608
581135,Kacey Dunley,Tambovka,Russia,38,(564) 6015295
468841,Beryle Stollard,Złotoryja,Poland,46,(859) 4721866
627687,Gwenneth Feldhuhn,Lübeck,Germany,25,(879) 3023127
032788,Caty Mousby,Tibro,Sweden,31,(339) 5477704
960462,Mame Pudsall,Pirg,Albania,71,(553) 5116943
330369,Lynda Osipenko,Solna,Sweden,64,(299) 6167124
441255,Boyce Leroux,Budapest,Hungary,30,(316) 8387113
771774,Ikey Duffus,Yelets,Russia,4,(953) 7348732
950174,Wynny McIlharga,Vällingby,Sweden,22,(935) 6927525
865414,Lindi Bello,Obryte,Poland,17,(828) 8353574
930785,Colver Bluett,Épinal,France,5,(675) 3555944
765839,Holly-anne Thay,Wielbark,Poland,75,(596) 4407513
649741,Yale Conibear,Milano,Italy,25,(300) 2697609
264542,Brandie Boise,Fyllingsdalen,Norway,33,(605) 6623155
136273,Celia Gocher,Velikovechnoye,Russia,27,(342) 6660684
516536,Ogden Cooley,Lons-le-Saunier,France,71,(218) 9731566
086747,Trumann Longlands,Alfortville,France,37,(554) 5961337
580113,Chen Extall,Khuzhir,Russia,16,(725) 5871076
