id,Ime,Kraj,Drzava,Starost,Telefon,datum_vloge
531509,Tod Dyke,Berck,France,20,(113) 9596388,16/03/2003
121769,Lettie Wiggall,Nieborów,Poland,40,(134) 6486764,31/01/2016
495973,Maurene Benedikt,Neuilly-sur-Seine,France,26,(135) 5368921,29/07/2000
574587,Bobbye Crayden,Muchkapskiy,Russia,61,(649) 3131728,20/08/2007
057593,Chrysler Tettersell,Rogowo,Poland,33,(365) 2553003,05/12/2000
929296,Lynnea Worrall,Peristerá,Greece,58,(324) 7850560,11/08/2010
635043,Rea Vickerman,Łagów,Poland,38,(647) 5933470,11/10/2013
184455,Donetta Dilworth,Novyy Urgal,Russia,55,(711) 1322415,07/10/2001
551994,Illa Giacomazzo,Skolkovo,Russia,38,(492) 6771109,21/09/2003
476014,Barret Mollatt,Osekovo,Croatia,43,(734) 4804160,17/03/2013
742866,Maynard Huntar,Nerokoúros,Greece,53,(216) 3499445,20/10/2017
473297,Israel Gotter,Mílos,Greece,22,(182) 2697767,07/09/2007
275122,Shellie Bardwall,Stuttgart,Germany,38,(458) 4461120,22/11/2006
628115,Jess Berrie,Virovitica,Croatia,59,(634) 9189068,15/02/2012
898930,Charlotte Goggey,Skutskär,Sweden,40,(581) 6362356,07/12/2013
919573,Farah Sockell,Novoselitsa,Ukraine,41,(810) 7473633,01/11/2018
164879,April Blakemore,Pinyug,Russia,41,(137) 6805167,05/04/2012
437030,Starr Drohan,Kirovskiy,Russia,21,(861) 8806637,07/12/2007
598490,Thadeus Rohlfs,Baltiysk,Russia,34,(567) 6365937,03/07/2001
061976,Atalanta Benedikt,Jagodnjak,Croatia,61,(967) 1761380,18/12/2002
441834,Diana Hentze,Ugljan,Croatia,36,(666) 7223709,14/08/2009
152424,Murial Gilleon,Taganskiy,Russia,37,(301) 1733926,01/12/2018
231927,Mozelle Drohane,Siedlce,Poland,31,(279) 6100439,13/11/2009
394254,Perkin Hurles,Gierłoż,Poland,27,(908) 4238620,08/03/2006
117732,Deonne Taylot,Täby,Sweden,41,(255) 6688478,24/01/2018
382754,Wayne Simenot,Verkhnye Syn’ovydne,Ukraine,50,(981) 6167656,22/08/2008
510845,Rhodie Room,Rybnoye,Russia,18,(291) 8971925,23/03/2010
929247,Emmye Pigot,Bílina Kyselka,Czech Republic,32,(608) 5432193,17/03/2003
434464,Emmott O'Loinn,Nizhnekamsk,Russia,43,(835) 4842128,25/02/2011
246020,Tomasine Gosnoll,Kuchurhan,Ukraine,55,(429) 3408463,06/02/2005
600572,Doug Pay,Blessington,Ireland,59,(824) 7843378,29/07/2003
098103,Joceline Ginie,Pau,France,54,(866) 8813747,15/07/2001
156077,Bobette Kieran,Pataias,Portugal,45,(968) 9869500,27/02/2005
057833,Lyon Sandars,Nizhnekamsk,Russia,53,(451) 4338566,05/02/2003
501981,Peder Garvan,Zavoronezhskoye,Russia,24,(537) 4625896,04/09/2012
955814,Ferdinande Wogdon,Armação de Pêra,Portugal,35,(974) 2297286,18/06/2014
927809,Douglas Crocetto,Shatalovo,Russia,25,(885) 3160796,07/08/2013
163075,Xena Pearcehouse,Saint-Malo,France,37,(647) 3251844,12/05/2002
406489,Lois Bavin,Arrentela,Portugal,46,(570) 9868177,28/09/2004
626622,Erinna Collett,Tromsø,Norway,61,(260) 9020982,22/12/2010
231526,Niel Claypole,Grabica,Poland,52,(242) 2507539,30/05/2008
517616,Nevsa Mauchlen,Göteborg,Sweden,41,(465) 5845599,01/11/2006
863322,Adrianna McGeaney,Pruszcz,Poland,50,(499) 6659557,19/08/2011
146185,Leigh Curzon,Karlskrona,Sweden,21,(311) 1743188,13/06/2002
919546,Sunny Linck,Czerniejewo,Poland,63,(173) 5703633,23/07/2003
167396,Julie Grocock,Bezons,France,29,(707) 3386697,01/06/2014
423760,Elsinore Rizzetti,Angeghakot’,Armenia,21,(816) 1339555,20/01/2013
681244,Marysa Baiden,Borgustanskaya,Russia,19,(594) 8653389,17/08/2003
373615,Nessy Childerley,Skinnskatteberg,Sweden,43,(446) 4971090,07/12/2012
290441,Denise Joris,Marisol,Portugal,40,(349) 1374840,29/09/2001
663701,Levi Dadswell,Vale Maceiras,Portugal,44,(254) 9441223,04/02/2004
099075,Chip Lunk,Antopal’,Belarus,25,(932) 5289176,15/11/2011
511730,Ulrika McGraw,Starobaltachevo,Russia,20,(487) 3696041,17/07/2013
580851,Jelene Itzchaki,Všetaty,Czech Republic,58,(514) 5363370,25/07/2014
495878,Jens Kesper,Delft,Netherlands,24,(958) 6086492,08/11/2007
791785,Dix Hucke,Baguim do Monte,Portugal,53,(324) 4832027,11/01/2015
264003,Ellynn Wheway,Soutinho,Portugal,64,(699) 6826574,21/09/2005
018638,Byram Daskiewicz,Korenovsk,Russia,28,(510) 3541406,31/07/2008
973592,Halimeda Butterwick,Kamieniec Ząbkowicki,Poland,26,(589) 3737954,25/09/2016
921054,Viola Lamblot,Modřice,Czech Republic,42,(305) 9740915,08/05/2001
114715,Perry Jeanneau,Piteå,Sweden,58,(164) 9386232,21/04/2012
998662,Nadya Heales,Ryjewo,Poland,41,(471) 4078508,15/12/2007
429591,Gae Brummitt,Vannes,France,30,(644) 8743543,24/11/2000
431457,Dulsea Peter,Berezniki,Russia,31,(214) 1266765,15/06/2012
697313,Boothe Daleman,Gugark’,Armenia,61,(252) 3674932,29/04/2018
833923,Kore Maidstone,Dagda,Latvia,40,(967) 6583658,21/09/2003
597998,Honey Liffe,Viljandi,Estonia,27,(465) 7155615,11/06/2012
672039,Reider Lorne,Klina,Kosovo,38,(894) 9363793,11/05/2006
435626,Ulises Itzakovitz,Forninho,Portugal,54,(596) 6771701,11/08/2014
729506,Julian Dallon,Dorotea,Sweden,47,(173) 9245297,22/10/2004
063150,Carissa McTerlagh,Järfälla,Sweden,49,(308) 8074527,21/03/2010
617391,Grant Hovard,Asnières-sur-Seine,France,25,(599) 3642274,21/01/2012
348241,Natty Olenichev,Sobral,Portugal,64,(603) 8873659,24/05/2003
423946,Pablo Scurrey,Ciechanów,Poland,51,(536) 3780222,23/05/2002
083978,Dehlia Tewelson,Severomorsk,Russia,34,(841) 5236417,11/11/2017
312236,Guinevere Martinson,Nordeste,Portugal,22,(576) 2219510,12/12/2010
145221,Otis McElrea,Belene,Bulgaria,24,(956) 6623953,12/08/2004
983670,Kelly Bascomb,Osieck,Poland,38,(210) 5266914,30/06/2003
987233,Francene Frigot,Dolinsk,Russia,39,(702) 1829493,27/12/2016
582255,Thelma Saipy,Ruen,Bulgaria,28,(980) 5488099,01/01/2002
387228,Kori Killingbeck,Łeba,Poland,24,(314) 9133277,06/01/2014
561463,Corbet MacDonell,Liljendal,Finland,32,(618) 9557825,17/08/2018
020211,Sheilah Escala,Mionica,Bosnia and Herzegovina,40,(338) 6774377,13/06/2014
310276,Eveline Mordey,Břasy,Czech Republic,53,(863) 3788882,05/05/2011
479779,Ruby Disney,Bukowiec,Poland,39,(552) 8662570,05/03/2005
897830,Sidoney Bruhnsen,Syrskoye,Russia,19,(833) 5286321,01/12/2000
444674,Lucine Sibylla,Säffle,Sweden,49,(486) 1331110,12/07/2003
297665,Katerina Harnes,Ínfias,Portugal,40,(433) 6073862,12/01/2014
419486,Nate Deme,Tankhoy,Russia,34,(940) 1834381,15/01/2018
982542,Deidre Filippazzo,Broniszewice,Poland,60,(584) 7351032,09/01/2018
924619,Crystal Veasey,Kallinge,Sweden,40,(491) 8239774,18/04/2018
964152,Nicola Nannoni,Lyon,France,47,(492) 9930511,18/10/2007
442150,Moises Galia,Razumnoye,Russia,18,(320) 1431802,11/05/2007
942988,Gayle Shailer,Saint-Étienne,France,34,(352) 8175321,05/12/2008
162409,Giorgi Chatto,Merkezköy,Turkey,30,(707) 4138627,18/05/2007
650829,Efren Perri,Pervomayskaya,Russia,23,(837) 7682202,19/01/2006
103944,Stevy Jessop,Borek,Poland,36,(389) 7887522,17/09/2004
563042,Lucho Fihelly,Castanheira do Campo,Portugal,56,(784) 7863644,04/05/2002
829410,Christie Challener,Njurunda,Sweden,38,(770) 8984431,27/12/2016
147679,Gilberta Jaffray,Zaječí,Czech Republic,38,(675) 7721471,07/04/2019
686961,Thibaud Moresby,Fréjus,France,65,(329) 4959580,26/05/2006
423592,Dasha Kendrew,Gvozd,Croatia,63,(864) 6031312,09/04/2006
355826,Gustavus Tams,Paltamo,Finland,62,(995) 4544812,30/09/2005
475032,Tresa Loisi,Ostrožská Lhota,Czech Republic,24,(396) 8770215,07/06/2007
701586,Vitia Romme,Ożarów,Poland,32,(250) 3214332,11/05/2019
567176,Broderic Boughtwood,Kavásilas,Greece,29,(416) 2348652,14/10/2011
197121,Adolphe Jansie,Lipnik,Poland,54,(332) 6197526,04/10/2015
263057,Brandise Thomasen,Skokovi,Bosnia and Herzegovina,48,(956) 5536017,04/12/2011
706080,Boy Hair,Norrköping,Sweden,25,(238) 1820648,18/11/2018
221989,Blondelle Rousby,Aloja,Latvia,48,(807) 7549083,04/01/2005
366303,Sella Windley,Vårby,Sweden,33,(618) 5575794,27/05/2002
807054,Lyon Lieb,Aime,France,59,(780) 9370190,10/11/2004
414955,Bobby Shaddock,Wien,Austria,38,(983) 1573032,08/09/2008
512658,Stanly Wyatt,Krivaja,Serbia,31,(420) 6269687,11/05/2011
282497,Hasheem Halwood,Chocz,Poland,60,(865) 6960301,24/09/2003
711737,Clim Rodgerson,Stepanivka,Ukraine,21,(294) 8578721,25/11/2018
479221,Darcey Attril,Jabłonica Polska,Poland,54,(291) 3086649,15/06/2001
198581,Barby Surcombe,Stanowice,Poland,26,(756) 4891737,09/04/2009
103724,Maureene Saker,Verkhnyachka,Ukraine,28,(265) 3131645,02/12/2017
485181,Craig Leile,Ribeira Seca,Portugal,32,(262) 5161205,27/03/2003
196901,Arch Noblett,Åkersberga,Sweden,34,(478) 5156024,30/10/2007
502326,Mina Foort,Guéret,France,32,(231) 1176111,31/03/2015
511055,Vilma Lints,Kaltan,Russia,43,(819) 1009456,10/10/2009
333262,Shadow Seville,Granja,Portugal,22,(523) 8773716,15/01/2016
359964,Sabina Domokos,Radom,Poland,37,(362) 5837236,02/05/2019
115612,Debee Dullingham,Kimry,Russia,59,(790) 9451855,23/02/2005
894328,Carleton Greenstock,Vayk’,Armenia,23,(518) 4783514,09/02/2006
766342,Erin Dyott,Škofljica,Slovenia,41,(296) 3293723,23/11/2013
653372,Robena Castree,Sölvesborg,Sweden,47,(956) 4915583,20/11/2014
429305,Gabrila Aucott,Baganha,Portugal,41,(506) 2113349,11/06/2011
181813,Maible Pentelo,Châteauroux,France,33,(172) 1239485,13/04/2008
592572,Iormina Cuddihy,Oslo,Norway,27,(820) 8363653,10/03/2015
698513,Jeramie Allanson,Sandnes,Norway,52,(402) 2088915,03/10/2000
948850,Andree Shingfield,Balatun,Bosnia and Herzegovina,38,(779) 6986577,13/08/2018
773929,Travers Mack,Mochishche,Russia,27,(414) 7736340,01/10/2016
721636,Pammi Booij,Postoloprty,Czech Republic,24,(962) 9163568,19/02/2004
633768,Galven Celier,Firovo,Russia,21,(464) 7171599,28/10/2003
849613,Lawry Emlin,Fajsławice,Poland,45,(968) 2443618,08/11/2008
690390,Imogene Pownall,Toledo,Spain,37,(728) 5945108,01/05/2004
394580,Konrad Simm,Kasli,Russia,42,(107) 4857104,22/04/2003
354619,Julee Leban,Czarna Woda,Poland,57,(628) 3748982,08/08/2017
059334,Tanny Maddra,Starotitarovskaya,Russia,63,(448) 5739965,24/01/2010
673217,Marris Hammett,Likhoy,Russia,30,(702) 6701468,29/11/2005
483740,Danny Kindell,Lycksele,Sweden,57,(830) 4848237,11/11/2013
704952,Luca Maddox,Ruma,Serbia,18,(624) 4639386,13/06/2015
513311,Bobine Rignoldes,Além do Rio,Portugal,51,(986) 7053558,14/04/2008
184373,Carla Croft,Smolyan,Bulgaria,62,(382) 5031004,20/04/2019
960152,Wang Suero,Eira Nova,Portugal,21,(895) 6641928,21/01/2010
936177,Hilary Steptow,Rostov,Russia,30,(234) 5182022,02/09/2002
104387,Valencia Zoellner,Shkurinskaya,Russia,28,(146) 9417772,06/09/2006
144617,Miguelita Korpolak,Virolahti,Finland,57,(686) 4264053,14/03/2016
415947,Terese Lakin,Tarvasjoki,Finland,30,(108) 2644473,06/07/2015
154792,Codi Marchington,Bukowiec,Poland,32,(767) 1795736,06/05/2003
634536,Sharona Waliszewski,Augsburg,Germany,55,(939) 2178513,12/05/2005
914451,Sloane Brignall,Portel,Portugal,54,(503) 3666833,21/02/2015
732949,Eada Atto,Idritsa,Russia,47,(673) 7034020,30/01/2018
763303,Marcelline Winterborne,Arendal,Norway,64,(471) 1870099,08/07/2005
423126,Jo Petrolli,Breia,Portugal,54,(400) 1850467,30/05/2004
966008,Ranique Ellershaw,Izmaylovo,Russia,49,(747) 4150333,15/01/2014
743616,Reagen Goulbourn,Baldone,Latvia,20,(405) 1410777,05/07/2006
589322,Aida Longmate,Ponikiew,Poland,35,(124) 9870171,11/06/2015
526558,Sheree Hamberstone,Białobrzegi,Poland,38,(802) 7333700,14/06/2013
542973,Udall Ellins,Neftegorsk,Russia,19,(315) 7291477,03/04/2018
829089,Ruben Christoffe,Smolyan,Bulgaria,59,(817) 3299999,23/07/2014
510606,Bernhard Loveredge,Zaječí,Czech Republic,37,(546) 7792049,24/07/2003
233521,Merl Titt,Artjärvi,Finland,18,(448) 9420093,13/07/2006
098876,Ginni Willowby,Kluczbork,Poland,33,(897) 4166610,08/06/2004
095912,Emmalyn Swaden,Uusikaupunki,Finland,61,(181) 3618590,07/02/2016
824720,Fidelity Dimeloe,Trondheim,Norway,21,(460) 6055969,03/06/2006
474819,Madalyn Codlin,Матејче,Macedonia,22,(965) 8389786,30/12/2014
805358,Nerti Papez,Emmen,Netherlands,61,(126) 7553633,26/03/2018
658084,Meggy Tottman,Tammela,Finland,36,(673) 8724075,14/09/2012
357510,Felita Pinock,Kruševo,Croatia,54,(583) 5219760,03/11/2005
570928,Karalynn Merrick,Nizhnyaya Maktama,Russia,24,(973) 8371310,26/07/2012
402033,Datha Hens,Lávara,Greece,32,(332) 7633624,07/04/2004
309806,Burk MacPaike,Sinyavino,Russia,25,(645) 9503573,09/04/2001
707657,Taddeo Outhwaite,Nevyts’ke,Ukraine,28,(755) 9559109,10/11/2006
743263,Ynes Klosterman,Paris La Défense,France,48,(568) 4082231,04/02/2006
307576,Ennis Falkous,Portelinha,Portugal,41,(602) 8412236,28/04/2015
429773,Johannes Igo,Arvika,Sweden,57,(145) 2456932,06/03/2005
599051,Zollie Freak,Podhum,Bosnia and Herzegovina,29,(130) 2104358,22/08/2002
338474,Dev Seymour,Kikerino,Russia,24,(636) 2354516,12/02/2015
156901,Marion Messum,Kyurdarmir,Azerbaijan,44,(140) 5684272,27/07/2007
331104,Godwin Dufaire,Västerås,Sweden,43,(484) 5459831,12/07/2011
311696,Amaleta Whittington,Göteborg,Sweden,36,(398) 8212695,27/11/2006
901574,Gannon Gomar,Malinovskiy,Russia,47,(779) 9059496,03/12/2004
670091,Valera Townsley,Mirny,Russia,45,(745) 4276783,16/02/2018
453643,Carr Locard,Hadžići,Bosnia and Herzegovina,40,(169) 2047259,04/05/2014
173790,Shanta Jaggers,Osby,Sweden,47,(350) 3813935,16/02/2015
756998,Deni Millar,Taksimo,Russia,20,(978) 4232900,06/12/2015
840582,Roseann Huygen,Horka nad Moravou,Czech Republic,35,(433) 1291155,01/01/2007
664557,Brannon Matusevich,Zalishchyky,Ukraine,55,(991) 5262920,19/12/2008
146714,Zorine Cavolini,Ust-Maya,Russia,30,(441) 9271941,17/01/2013
870356,Angela Gatrill,Linëvo,Russia,36,(939) 1820639,24/06/2001
244163,Vida Nardoni,Freiburg im Breisgau,Germany,45,(133) 6908545,30/11/2002
295723,Ring Gerant,Turtas,Russia,43,(594) 3409985,04/02/2010
091113,Rosella Scargill,Slatyne,Ukraine,28,(224) 7819070,24/03/2014
407023,Eric Eglise,Uman’,Ukraine,39,(618) 4567497,22/03/2016
876830,Jeno Smitherham,Miribel,France,48,(444) 9374937,26/12/2006
694656,Dina Yter,Kharkiv,Ukraine,46,(978) 5627858,16/06/2005
955741,Henry McGeachy,Blon’,Belarus,48,(420) 1467583,30/01/2016
494546,Vittoria Richin,Plátanos,Greece,53,(255) 6966688,13/12/2018
421914,Evvy Walkley,Miejsce Piastowe,Poland,43,(915) 8445069,08/11/2009
400065,Kacy Tyne,Bozkow,Poland,65,(113) 8723921,21/02/2013
184042,Mitch Enrigo,Nevesinje,Bosnia and Herzegovina,31,(954) 3443422,21/06/2001
723303,Carey Backen,Wien,Austria,51,(765) 3223345,20/10/2013
671347,Flora Donald,Mojkovac,Montenegro,22,(661) 5879571,07/09/2010
733597,Eyde Kubala,Flórina,Greece,34,(662) 1130499,05/04/2003
216037,Galen Bratcher,Cernache do Bonjardim,Portugal,22,(453) 1595099,13/08/2001
493487,Walton Sellan,Angoulême,France,63,(808) 5619601,15/04/2006
697151,Sadye Colman,Rassvet,Russia,42,(156) 4140904,17/10/2001
206044,Hanni Conaboy,Agara,Georgia,52,(345) 8325984,01/06/2008
682123,Juieta Camilli,Água de Pau,Portugal,42,(831) 5640397,25/06/2016
729645,Ceil Brixey,Makarov,Russia,56,(215) 7779703,12/01/2017
333683,Jeanie Stainburn,Slavs’ke,Ukraine,51,(980) 2539673,28/05/2003
303038,Gretchen Tunder,Jablonec nad Jizerou,Czech Republic,18,(602) 1126713,16/06/2003
125083,Dottie Coxon,Kos,Greece,53,(346) 2396859,30/03/2008
172679,Geoff Jorry,Notranje Gorice,Slovenia,24,(226) 8225822,17/03/2013
063448,Putnam Leinweber,Verkhniye Kigi,Russia,55,(417) 3948478,13/01/2019
449026,Kameko Dressel,Vysehrad,Czech Republic,19,(166) 2849836,07/10/2007
945109,Maurita Coupman,Hradec nad Moravici,Czech Republic,25,(623) 9363184,23/08/2014
703306,Gonzales Carlucci,Pivka,Slovenia,30,(532) 9061853,21/08/2004
454861,Adolph Colwill,Kempele,Finland,28,(455) 4460199,14/12/2000
050376,Titus Penkman,Roma,Italy,44,(583) 7938245,27/04/2016
514975,Chastity McNickle,Mayskiy,Russia,40,(690) 6985839,06/03/2012
194916,Micki Pattington,Ribeiro,Portugal,40,(848) 8807528,27/04/2010
352709,Jerri Wolfer,Zwolle,Netherlands,28,(592) 4623390,04/09/2014
441008,Christoforo Plank,Göteborg,Sweden,53,(192) 7896708,03/08/2016
290549,Georgeta Buckwell,Le Chambon-Feugerolles,France,30,(284) 4121030,27/09/2006
587520,Marilyn Davenell,Armash,Armenia,65,(218) 9013774,23/08/2004
566559,Frasier Dunklee,Olsztyn,Poland,26,(823) 8689810,29/04/2013
386194,Viviana Sabbin,Negotino,Macedonia,19,(196) 5734042,08/07/2012
748236,Dian Penchen,Izobil’nyy,Russia,39,(697) 7904107,29/11/2006
960507,Guillemette Neissen,Krasne,Poland,38,(617) 7153700,17/06/2002
430461,Jada Graver,Davydovo,Russia,42,(212) 2302534,22/08/2011
990303,Linnet Alcorn,Duczki,Poland,37,(814) 1745490,23/04/2019
851824,Curtice Guthrie,Kuršėnai,Lithuania,57,(888) 7453759,29/09/2013
867489,Rurik Hatchman,Afántou,Greece,28,(497) 9093342,10/06/2017
948320,Tatiania McGiven,Udobnaya,Russia,53,(218) 9237354,15/11/2014
257081,Guthry Milson,Sremska Mitrovica,Serbia,42,(770) 3399144,13/02/2014
849142,Gery Waryk,Ilioúpoli,Greece,21,(417) 6631798,28/11/2004
738765,Lindsay Reichartz,Khalopyenichy,Belarus,30,(464) 8869396,28/02/2017
237607,Robers Bennike,Novoanninskiy,Russia,33,(151) 6027746,03/11/2009
395068,Jerrold Stiegar,Timashëvsk,Russia,43,(781) 7154057,01/12/2012
062259,Hammad Budik,Bibrka,Ukraine,60,(304) 4774185,13/06/2003
868978,Arlana Galpin,Vagney,France,48,(691) 5082209,04/02/2012
370519,Ephrem Dorant,Golčův Jeníkov,Czech Republic,61,(872) 1702223,29/03/2006
420549,Ryon Darragon,Luleå,Sweden,31,(957) 7434769,10/04/2002
988678,Danell Hoys,Budenovetc,Russia,18,(952) 9426932,21/03/2002
411528,Jonathan Lening,Petropavlovskaya,Russia,58,(652) 1223106,15/04/2014
834287,Wittie Ashelford,Stamboliyski,Bulgaria,65,(149) 6971435,18/03/2003
191067,Waverley Hunnawill,Göteborg,Sweden,50,(665) 6910807,09/12/2014
550752,Timothea Yearns,Santo Amaro,Portugal,22,(346) 5239191,20/02/2012
736690,Boone Farrington,Além,Portugal,56,(906) 1597876,06/12/2007
922063,Kellby Pikesley,Anthoúsa,Greece,21,(815) 5645289,25/07/2018
903374,Charlton Chelam,Głowno,Poland,30,(876) 4455658,21/03/2004
461793,Holt Mann,Digne-les-Bains,France,32,(677) 5747095,10/02/2010
208934,Kristen Curnokk,Oster,Russia,35,(400) 1460521,07/04/2010
417053,Casandra Faireclough,Pánormos,Greece,63,(295) 2179774,02/11/2014
248424,Florry Connerly,Kostyantynivka,Ukraine,48,(807) 1511826,18/08/2016
838311,Hadria Elnough,Marhanets’,Ukraine,32,(338) 6321783,23/07/2014
013288,Amble Jollye,Grudë-Fushë,Albania,54,(641) 7621753,23/07/2001
257926,Muriel Bishop,Boco,Portugal,60,(404) 3578434,01/11/2013
142806,See Dybell,Rönninge,Sweden,46,(954) 6909598,04/04/2008
110480,Frannie Leatham,Oster,Russia,65,(827) 4734692,01/07/2009
408403,Ellsworth Plumridege,Arnhem,Netherlands,18,(621) 4990709,31/05/2006
127379,Sayres Vogeler,Åstorp,Sweden,55,(625) 6775981,15/12/2003
911050,Caren Scolts,Sophia Antipolis,France,24,(575) 9960934,06/06/2016
193317,Dania Chong,Kungsbacka,Sweden,65,(736) 3289035,18/04/2014
716006,Cordelie Chainey,Krasnoarmeysk,Russia,23,(166) 8989642,02/02/2002
148442,Gleda Yegorkov,Skënderbegas,Albania,39,(469) 4812609,12/01/2007
401377,Gui Dowgill,Inari,Finland,28,(651) 2835152,12/10/2015
005096,Eddie Sutterby,Serpukhov,Russia,22,(417) 9115061,27/09/2000
879726,Betti Cuer,Grigiškės,Lithuania,60,(763) 1259437,20/04/2008
809565,Jennine Vasilechko,Ichnya,Ukraine,38,(634) 5666706,05/11/2011
838962,Waverly Bleaden,Gävle,Sweden,26,(490) 3851200,01/11/2012
030202,Marcelo Kierans,Chruszczobród,Poland,51,(386) 6347361,17/04/2017
601188,Tiffie Tomczak,Goght’,Armenia,48,(969) 8463278,15/09/2011
207135,Tori Edelheid,Vänersborg,Sweden,26,(131) 7168865,29/01/2004
614719,Johann Dahmke,Fershampenuaz,Russia,60,(629) 2401451,02/06/2017
